quantity; (physikalische) Gr?¤e, Menge
medium;Medium
;
light wave ;Lichtwelle
;
to travel;sich ausbreiten, laufen
;
traveling wave;laufende Welle
;
matter;Materie
;
matter wave;Materiewelle
;
technology;Technologie, Technik
;
pulse;Impuls, Puls
;
wave form;Wellenform
;
to monitor;beobachten, Ùberwachen
;
transverse wave;Transversalwelle
;
longitudinal wave;Longitudinalwelle
;
dye;Farbstoff
;
extreme;Extremalwert
;
wavelength;Wellenl?nge
;
(angular) wave number;Wellenzahl
;
angular frequency;Kreisfrequenz
;
to confirm;best?tigen
;
to justify;rechtfertigen
;
to enter (in);eingeben, eingehen (in)
;
transport;Transport
;
type (of);Art, Sorte
;
instrument;Instrument, Ger?t
;
overlap; berschneidung,  berlapp
;
to overlap (with);sich Ùberschneiden (mit), sich Ùberlappen (mit)
;
in phase;in Phase
;
out of phase;au¤er Phase
;
phase difference;Phasenunterschied
;
phase-shifted (by);phasenverschoben (um)
;
to interfere;interferieren
;
(constructive/destructive) interference;(konstruktive/destruktive) Interferenz
;
resultant;resultierend
;
standing wave;stehende Welle
;
node;(Schwingungs-)Knoten
;
antinode;(Schwingungs-)Bauch
;
to invert;umkehren 
;
incident;einfallend
;
fundamental mode;Grundschwingung
;
first harmonic;1. Harmonische
;
tissue;Gewebe
;
point source;Punktquelle
;
wavefront;Wellenfront
;
ray;Strahl
;
spherical wave;Kugelwelle
;
planar;eben
;
pascal;Pascal
;
allotted time;zugeteilte Zeit
;
meeting;Besprechung, Konferenz
;
workshop;Arbeitstagung, Workshop
;
seminar;Seminar
;
chairman, chairperson;Vorsitzende(r)
;
speaker;Vortragende(r)
;
session;Sitzung
;
projector;Projektor, Beamer
;
overhead projector;Tageslichtprojektor
;
(projection) screen;(Projektions-)Leinwand
;
microphone;Mikrophon
;
loudspeaker;Lautsprecher
;
transparency;(Vortrags-)Folie
;
laser pointer;Laserpointer
;
oral ;mÙndlich
;
poster;Poster
;
organizer;Organisator
;
registration fee;AnmeldegebÙhr
;
to occupy a volume;ein Volumen einnehmen
;
to be interrelated;zusammenh?ngen
;
expansion;Ausdehnung
;
threshold;Schwelle
;
path length;Wegl?nge
;
isotropical;isotrop
;
to spread (from);sich ausbreiten (von)
;
to center;zentrieren
;
decibel;Dezibel
;
beat;Schwebung
;
Doppler effect;Dopplereffekt
;
visible light;sichtbares Licht
;
frequency shift, shift in frequency;Frequenzverschiebung
;
(in)compressible;(in)kompressibel
;
speed of sound;Schallgeschwindigkeit
;
to emit;(aus-)senden, emittieren
;
emitter;Sender
;
emission;Emission
;
receiver;Empf?nger
;
ultrasound;Ultraschall
;
ultrasonic;Ultraschall-
;
to depict;abbilden, darstellen
;
shock wave;Schockwelle
;
kelvin;Kelvin
;
absolute zero;absoluter Nullpunkt
;
to cool;sich abkÙhlen
;
oven;Ofen
;
resistance;Widerstand
;
digital;digital
;
thermometer;Thermometer
;
concept;Konzept
;
first law of thermodynamics;erster Hauptsatz der W?rmelehre
;
phenomenon;Ph?nomen
;
freezing point;Gefrierpunkt
;
boiling point;Siedepunkt
;
triple point;Tripelpunkt
;
vapour, vapor;Dampf
;
steam;Wasserdampf
;
bulb;GlÙhbirne, Glaskolben
;
to immerse;eintauchen
;
mercury;Quecksilber
;
reservoir;Reservoir, Beh?lter
;
atmospheric;atmosph?risch
;
to converge (to);konvergieren (gegen)
;
convergence;Konvergenz
;
to diverge;divergieren
;
as follows;wie folgt
;
to extrapolate;extrapolieren
;
to interpolate;interpolieren
;
20 degrees Celsius;20 Grad Celsius
;
thermal expansion;W?rmeausdehnung
;
to heat;aufheizen, erw?rmen
;
thermostat;Thermostat, Temperaturregler
;
coefficient of linear expansion;linearer W?rmeausdehnungskoeffizient
;
conference programme;Tagungsprogramm
;
schedule;Zeitplan
;
to schedule;einplanen, terminlich festlegen
;
..., e.g., ... ;z. B. 
;
..., i.e., ...;d.h.
;
outline; bersicht, -blick
;
topic;Thema
;
comment (on);Kommentar, Anmerkung (zu)
;
virus;Virus
;
biophysics;Biophysik
;
to number (from ... to ...);nummerieren (von ... bis ...)
;
to anticipate sth.;etw. erwarten, mit etw. rechnen
;
to facilitate;erleichtern
;
cell;Zelle
;
to damage;besch?digen
;
cancer;Krebs
;
lithography;Lithografie
;
replica;Kopie
;
impression;Eindruck, Abdruck
;
polymer;Polymer

